iter	Passed	Remaining
0	166	166577
1	167	83747
2	168	55953
3	168	42046
4	171	34081
5	171	28458
6	172	24443
7	173	21476
8	173	19124
9	174	17236
10	174	15705
11	175	14446
12	176	13377
13	176	12442
14	177	11635
15	177	10929
16	178	10304
17	178	9756
18	179	9288
19	180	8847
20	181	8440
21	181	8068
22	182	7732
23	182	7421
24	182	7135
25	183	6876
26	184	6633
27	184	6413
28	185	6217
29	186	6033
30	187	5853
31	187	5678
32	188	5519
33	188	5366
34	189	5226
35	190	5098
36	191	4976
37	191	4858
38	192	4750
39	193	4637
40	194	4540
41	194	4440
42	195	4350
43	195	4258
44	196	4169
45	196	4084
46	197	4002
47	198	3927
48	198	3851
49	198	3779
50	199	3710
51	199	3642
52	200	3578
53	200	3518
54	201	3459
55	201	3403
56	202	3347
57	202	3295
58	203	3243
59	203	3193
60	204	3143
61	204	3095
62	205	3050
63	205	3006
64	205	2962
65	206	2920
66	206	2879
67	207	2840
68	207	2802
69	208	2765
70	208	2729
71	208	2693
72	209	2662
73	210	2629
74	210	2597
75	210	2565
76	211	2533
77	211	2503
78	212	2473
79	212	2445
80	213	2417
81	213	2390
82	213	2361
83	214	2334
84	214	2309
85	214	2284
86	215	2259
87	215	2235
88	216	2212
89	216	2191
90	217	2168
91	217	2149
92	218	2128
93	218	2109
94	219	2088
95	219	2068
96	220	2049
97	220	2031
98	221	2012
99	221	1993
100	221	1975
101	222	1957
102	222	1941
103	223	1924
104	223	1907
105	224	1890
106	224	1874
107	225	1859
108	225	1844
109	226	1828
110	226	1816
111	227	1802
112	228	1789
113	228	1775
114	229	1763
115	229	1750
116	229	1735
117	230	1724
118	231	1711
119	231	1699
120	232	1687
121	232	1674
122	233	1663
123	233	1651
124	234	1639
125	234	1628
126	235	1616
127	235	1605
128	236	1595
129	236	1584
130	237	1576
131	238	1565
132	238	1554
133	239	1544
134	239	1535
135	240	1524
136	240	1515
137	240	1505
138	241	1495
139	241	1486
140	242	1476
141	242	1465
142	243	1456
143	243	1447
144	243	1437
145	246	1441
146	246	1432
147	247	1423
148	247	1414
149	248	1406
150	248	1397
151	249	1389
152	249	1381
153	249	1372
154	250	1365
155	250	1357
156	251	1349
157	251	1341
158	252	1333
159	252	1326
160	252	1317
161	253	1312
162	254	1306
163	254	1299
164	255	1292
165	255	1285
166	256	1278
167	256	1271
168	257	1266
169	257	1259
170	258	1252
171	258	1246
172	259	1239
173	259	1233
174	260	1227
175	260	1220
176	261	1214
177	262	1210
178	262	1204
179	263	1199
180	263	1193
181	264	1187
182	264	1181
183	265	1176
184	265	1170
185	266	1165
186	266	1160
187	267	1154
188	268	1150
189	268	1146
190	269	1141
191	270	1136
192	270	1131
193	271	1126
194	271	1121
195	272	1116
196	272	1112
197	273	1109
198	274	1104
199	275	1101
200	276	1099
201	277	1095
202	277	1090
203	278	1086
204	279	1083
205	280	1080
206	281	1076
207	281	1072
208	282	1068
209	283	1065
210	284	1062
211	284	1058
212	285	1054
213	285	1050
214	286	1046
215	287	1041
216	287	1038
217	288	1034
218	288	1030
219	289	1026
220	289	1021
221	290	1017
222	290	1013
223	291	1009
224	291	1005
225	292	1001
226	292	997
227	293	993
228	293	988
229	294	984
230	294	980
231	295	979
232	296	975
233	296	972
234	297	968
235	297	964
236	298	960
237	298	956
238	299	953
239	299	949
240	300	945
241	300	941
242	301	938
243	301	934
244	302	930
245	302	927
246	302	923
247	304	923
248	305	920
249	305	916
250	305	912
251	306	909
252	306	905
253	307	902
254	307	898
255	308	895
256	308	892
257	309	889
258	309	886
259	310	882
260	310	879
261	311	877
262	312	875
263	312	872
264	313	868
265	313	865
266	314	862
267	314	859
268	315	856
269	315	853
270	316	850
271	316	847
272	316	844
273	317	841
274	317	838
275	318	835
276	319	833
277	319	830
278	320	828
279	321	825
280	321	822
281	321	819
282	322	816
283	322	814
284	323	811
285	323	808
286	324	805
287	324	802
288	325	799
289	326	798
290	326	795
291	327	793
292	327	790
293	328	788
294	328	785
295	329	782
296	329	780
297	330	777
298	330	774
299	331	773
300	332	772
301	333	770
302	333	768
303	334	766
304	335	764
305	336	762
306	336	760
307	337	758
308	338	757
309	339	755
310	340	753
311	340	751
312	341	749
313	342	747
314	342	745
315	343	743
